NSW,2020-07-01 00:00:00,1.0875560233216632,0.5159536700395145,0.5254082039761181,0.5276632060152733,0.25407183027371555,1.804313145224154,4.970191133074853,1.1181684516752768,3.302957399889599,6.699261047202296,3.33136447917861,7.536654179384229,1.8154201221841637,6.657558873512558,10.199092989065752,7.553211329783532,8.452562011311786,8.485421722335444,11.038007434600159,9.28515349666831,8.349811380950442,14.511649250194104,7.468592401919964,9.13392094499475,9.914810486250602,9.054655175531122,12.40089363401626,10.62133192385994
QLD,2020-07-01 00:00:00,0.0014696878770731417,0.0012973204541348701,0.0009106114988274423,0.0007346797939713111,0.0006700537349816855,0.00042949597113609543,0.00037423396858858154,0.00032033202098423117,0.00034678274469293055,0.00018992307466283222,0.00020852612502505563,0.00014672960562852087,0.0001312374855366402,8.041520257221578e-05,7.710104570091302e-05,7.688218628471686e-05,5.9154573586777884e-05,4.793021210777671e-05,4.334979718661721e-05,4.2693218938917986e-05,0.9905242314581821,2.7623184863971173e-05,0.9892790933419449,3.411080326778399e-05,0.9897761230757476,2.5622184489289625e-05,0.9917668214255048,1.6852175033098706e-05
SA,2020-07-01 00:00:00,2.438548537541539e-06,1.0200464470776344e-06,4.940849979438781e-07,1.9125870895055314e-07,3.9845564344115785e-07,6.534672552654538e-07,1.3547491875352744e-06,1.5938225743135057e-07,1.6894519279929143e-06,1.3547491875352744e-06,7.80973061067827e-07,8.447259640513447e-07,8.128495125870296e-07,7.809730611776019e-07,0.9969728049717965,1.1475522530446697e-06,0.9984857888640989,1.0678611243564382e-06,1.944463539652548e-06,1.0678611243564382e-06,5.897143522819361e-07,1.0359846728372357e-06,6.056525780415374e-07,7.172201581940841e-07,0.9987380591009875,1.6894519279929143e-06,1.6097607992497955e-06,1.997476660101867
TAS,2020-07-01 00:00:00,9.054062472330988e-05,0.00011429830277342048,7.314864031354439e-05,0.0001374023604939146,9.977656415669232e-05,0.00011873155370193342,0.00012643290627578803,0.0001442511648141398,0.00014075571696736677,0.00017909197018436287,0.00014456376584261207,0.00018861209237073785,0.000181337013924801,0.00018761745274031142,0.00019108448231280794,0.00021799658890781192,0.000213733847631041,0.000226976763864885,0.00023703683327869007,0.9803585954367977,0.00028568892038653606,0.0003321243820302257,0.00031623856620524387,0.0003842719169849114,0.0004280928973123414,0.00042743927698366083,0.0004734484644999676,0.0005306828707107107
VIC,2020-07-01 00:00:00,93.54276593935711,88.11929544661984,133.73316152282945,175.58914967402453,141.29695059030732,191.24402264361953,177.28043655279126,201.68221616842618,235.62651599248136,231.07817176515937,259.3156082924562,212.81489872416319,282.8576004895833,295.79969731998233,271.6079128594256,305.91611870902415,339.6422465979064,319.3432879157283,289.4412530493037,403.85398286425345,380.0325623676934,364.90841375614656,390.02749313633495,392.82221353344846,349.0754212955235,347.96877619016794,419.93504237177035,368.4971250924093
WA,2020-07-01 00:00:00,1.707812499891076e-05,1.4203124998971732e-05,2.4546874998538382e-05,2.2703124998725837e-05,2.9031249998572825e-05,2.8249999998383623e-05,3.528124999832542e-05,2.8921874998604198e-05,3.776562499835853e-05,0.9872908906252457,2.2703124998725837e-05,2.0562499998692955e-05,3.103124999838548e-05,2.384374999869515e-05,4.298437499804755e-05,2.5406249998570406e-05,3.1265624998354184e-05,3.953124999813958e-05,3.5609374998168406e-05,2.8218749998383602e-05,4.989062499786347e-05,4.9953124997863515e-05,3.898437499798197e-05,4.1546874997983694e-05,2.0156249998378215e-05,2.704687499847716e-05,3.078124999832242e-05,2.4265624998475302e-05
ACT,2020-07-01 00:00:00,2.9721173872577364e-06,9.528925975238765e-07,0.9981933383232092,0.9966892200461873,2.1099764658322507e-06,4.424144202448999e-06,2.9948821499867497,3.4031878482723243e-06,4.35608044589152e-06,4.6963992309665845e-06,3.244372415711775e-06,4.537583798342489e-06,2.6317986034536015e-06,4.333392527430897e-06,3.69813079591777e-06,4.151889175520074e-06,3.7208187148549916e-06,5.0820938540431825e-06,5.830795180496603e-06,6.2618656413840984e-06,6.556808588108121e-06,6.738311940018944e-06,7.691204537542819e-06,7.5777649426660735e-06,9.551613894493719e-06,6.806375697116567e-06,8.576033378159712e-06,7.940771646583038e-06
NT,2020-07-01 00:00:00,3.240084860831852e-06,1.7335485880168573e-06,2.2494856677343183e-06,1.7954610375998793e-06,1.0318741595503304e-06,1.3207989241813373e-06,1.7129111048096936e-06,8.254993276710399e-07,1.0112366763431667e-06,5.365745630015638e-07,8.048618445023456e-07,8.874117772925312e-07,1.5890862057975275e-06,2.2907606341871154e-06,2.393948050145995e-06,7.842243613721207e-07,1.4446238235012587e-06,2.146298251929316e-06,1.6509986554190188e-06,1.568448722705772e-06,2.5177729495428557e-06,6.913556868667918e-06,3.2194473780093823e-06,4.437058886308778e-06,5.056183382138997e-06,3.611559558753147e-06,5.819770260111607e-06,4.2100465717608965e-06
NSW,2020-08-05 00:00:00,6.43401727021096,3.670950149274212,3.21036181787698,3.2937710650031167,7.163555969862147,3.594559830563979,2.0342145835099847,1.1907884957829002,1.1900961241043388,1.4903625588016955,1.4024299172764072,1.3298737084730208,2.0389211743474043,0.9976199197324712,1.073736215581882,0.9495460801312314,3.0042261474781804,1.1344381554328928,1.1771524993877487,5.473101644449367,4.850961488368954,4.988126506296914,5.867027766889772,4.42531645676196,6.048983682501677,4.612709223084662,4.685951418704151,4.018815207381204
QLD,2020-08-05 00:00:00,0.009240168465035658,0.008025292194695003,0.8421937958263084,0.004923713186219161,0.0034802297336969296,0.8941595762445367,0.9039132685004939,0.0015691257216412183,0.934308557854142,0.0009847175620789565,0.9496034079911345,0.9540022822163418,0.9650184622199427,2.952793471002142,0.0001825629029456688,0.9758671400940357,1.9701216979446434,0.9773493960267572,1.9782957172359708,1.9837776507020166,0.9847867538662176,0.987023615668685,4.295689904549878e-05,4.9865149188474085,0.990010648170366,2.9875133493927652,4.987257723715319,2.9912529817504736
