pc_75_day_P2
4
6
1161
142624
3
2
2
54
7
62372
3
8
3
2
3
4
2
4
5581
500195
8
3
70187
2
2
2
2
61
92698
10202
2
88967
3
14
2
69175
4
10
7
38570
67942
3
2
10
9
3
4
82157
3
500050
58186
16
500123
13
2
3
8
16
2
1666
6401
3
2
2
3
20159
4
155515
2709
283014
2183
3
3
4
59
233132
110
3
8215
2
17
3
4
7
195815
11
500092
2
5614
5
254979
10
5
500055
5
2
57431
3
77289
436363
69259
339439
2
3
6
4
6
19794
2
2
337776
3
2
106580
2
2
500401
81906
106502
5
443694
3
2
2
2
2
4
3
2
7
19094
4
2
5
11
2
10
3
7
4
500086
7
24
4
8
500232
20393
190001
5
341380
9
3
11
40
7
6945
16
392291
3
2
11
19
500440
7
3
16381
2
500087
5
2
3
12
13
2
3
71973
250051
3
15
2
2
2
4
4
2
4
500038
17
6
5
29
2
4
29
3
11
500028
3
5
3
5
2
4
38
234740
3
54467
3
3
3
12
57518
2
14
39109
3
106061
2
2
7139
3
2
3
5
4
19397
9
3
4
3
500102
2
2
6
24264
4
50132
5
3
2
500055
4
108771
3
4
2
140860
500309
3
11
4
3
4
57
2
2
96607
3
3
5
4
3
2
2
14
79073
28297
2
3
1511
62
2
3
11
12
39
51
3
3
273799
5
4
3
84048
2
3921
3
56
4
5
99630
61719
3
11
89507
5
500057
148112
7
2
4
9
13
249712
5
2
4
14
2
348709
2
66749
3
3
4
282666
2
1852
15586
4
3
17
6
427176
2
6
2
31861
3
111101
3
2
475209
7865
2
5
2
934
2
25011
3
6
250753
19
66250
960
5
8
13209
106
2
93833
2
3
48749
500084
6316
4
12
126556
2
11
17166
410898
2
2
3
25
3
13
7
2
2
84954
2
312090
7
2
2
79445
399378
9
178421
2
3
2
4
2
211556
19
6811
3
26699
4
5
6
9
500111
500109
176409
3
2
85874
199369
23
187681
2
2
41
13
2
3
9
13
3
53135
179550
87
70019
4
6
6
500071
7
3
164924
27300
6
5
2
500158
10
3
2
308999
5
3
185566
2
7
3
2
64915
339754
500420
14
3
4
3
2
3
5
500156
34920
3
188470
3
3
190225
3
132
4
412619
2
20107
136122
67692
3
13332
96383
2
7
278369
3
6
327401
2
55830
6
4
8
7
137881
3
3
4
4
120983
3
141148
4
5
366500
2
2
2
4
2
2
3
2
56784
5
3
2
500028
8
3
207684
2
2
2
61221
47343
2
2
14
11
500026
4
4
3
165071
8
396961
6
16684
8
16
8
2
5
777
5
2
3
2
2
11
15
3
5
4
12
2
2
19
11
3
3
10
500069
2
2
26
42315
5
6
3
6
68172
28
3799
16854
3
10
10776
3
4
6
2
14519
2
111318
2
5
318001
3
2
3
5
4
3
2
2
61
500105
475970
6
500067
5
243065
5
5
2
6
123796
255489
2
5
4
6
174276
13
4
3
2
4
2
6
4
2
3
2
106643
3
4
5516
38
143466
11
10
176366
3
3
4
45790
2
3
2
6
71397
2
2
17
500120
2
71040
12542
3
500396
112857
3
4
10
12817
62
465
3
4
155666
99068
7
2
31487
22
5
127084
7
2
3
95997
11
6
3
3
110911
4
67
4
2
106617
2
1860
2
2
2
7
82329
3
3
308555
3
31
4
5
15
7
5
2
7
2
65142
151188
5
7
500346
12
500181
3
6
8
3
32
42707
5
3
6
2
2
500110
2
3
2
308260
10
2
117927
131082
5
118971
7
462425
4
235949
4
2
4
100629
421129
2
2
9
231186
321292
4
5
8
7
68754
410052
3
8
171233
10
9
3983
4
6
3
192436
1238
7
3
80
2
93515
4
27
2
500266
3
4
4
6398
4
2
500158
321906
1054
4
20099
4
3
3
3
4
46844
4
3
2
2
4
293659
10862
3
3
6
11
3
3
6
6
97859
64073
331629
3
2
20
68310
2
1289
7
51825
2
4
42437
25
3
45847
6
4
500041
135236
3845
3
67108
2
3
42
6
5
350901
3
4
8
292630
2
2
6
3
51
2
2
3
2
215824
423528
216594
4
4
8
2
2
150007
3
678
5
2
351611
2
500086
143554
6
5
2
4
2
5
3
3
212723
6
4
259911
2
3
7
23
5
2
2
2
2
4
282128
75526
17
4
2
3
238399
3
412670
33227
5
2
18
12977
30314
7
17
55
10
6
4
94103
2
6
382596
4
2
4
6
7
65
192500
17
1664
4
3
2
5
2
3
2
241695
5
3
8
2
3
7
217047
92950
1612
2
13
3
52
63
51385
11789
14
85340
176
4
2
3
2
2
2
2
2
438890
12
3
4
4
8
2
2
3
35
3
9
4
58880
410803
10762
5
4
9
2
147324
3
3
37
4
5138
6
2
2
105995
9759
3
21287
275848
4
77169
17
3
451
2
2
3
4
5
500051
2
4
461841
21
5
15
2
2
4
10
5
