pc_75_day_0
4
6
2508
210630
3
2
2
56
21
78665
3
8
3
2
3
4
2
4
29903
439625
8
3
7691
2
2
2
2
56
13628
32696
2
12345
3
9
2
500180
4
15
7
51896
168988
3
2
42206
33040
5
4
956
3
468455
13048
16
8
14
2
3
8
16
2
19587
21
3
2
2
3
60
4
7
8477
500152
10
3
3
4
1973
100894
5474
3
6563
2
17
3
4
7
167086
11
121885
2
727
5
50641
25
5
9
5
2
28937
3
9068
124705
123130
58597
2
3
6
4
6
84877
2
2
161697
3
2
30346
2
2
430204
103
11596
5
92327
3
2
2
2
2
4
3
2
7
1684
4
2
5
10
2
10
3
7
4
246415
18877
20
4
6
500289
57751
36805
4
500109
7
3
11
64349
7
89
16
32116
3
2
11
19
500412
7
3
13
2
342590
5
2
3
8
104537
2
3
11
43740
3
15
2
2
2
4
4
2
4
353369
17
6
5
13
2
4
19638
3
11
3000
3
5
3
5
2
4
45
47
3
46820
3
3
10
90437
86640
2
14
1495
3
68536
2
2
6
3
2
3
5
4
118905
9
3
4
3
111095
2
2
47
35659
4
15404
5
3
2
175933
4
66083
3
4
2
12
500213
3
11
4
3
4
55324
2
2
79623
3
3
23
4
3
2
2
15
15364
15486
2
3
5208
96536
2
3
6
24186
29
3
3
3
76842
5
4
3
45
2
12
3
22180
4
5
6
14953
3
9
118247
5
207948
34
7
2
4
68931
13
13762
628
2
4
60279
2
26884
2
5810
3
3
6
134950
2
18523
16100
4
3
7667
6
3
2
6
2
121531
3
3
3
2
78139
5
2
5
2
148394
2
6
3
6
89142
17499
54836
18981
5
6
37876
18117
2
5
2
3
14
310167
5
4
12
12
2
9
94367
172145
2
2
3
23
3
4
7
2
2
18815
2
10
6
2
2
66698
89457
9
17941
2
3
2
4
2
22395
18
137708
3
62960
4
5
21
22
350663
500101
26
3
2
1229
65305
22
54426
2
2
22
13
2
3
10
12
3
23849
92156
4085
17355
4
6
6
61
7
3
138349
60
6
5
2
426241
39613
3
2
31936
53
3
43951
2
7
3
2
64840
105574
94279
14
3
4
3
2
3
5
5083
13
3
500210
3
3
10744
3
74
4
176002
2
35711
33
11238
3
28
170821
2
7
32026
3
6
37773
2
5564
143054
4
8
7
15
3
5
4
4
123562
3
21
4
5
10311
2
2
2
4
2
2
3
2
43825
5
3
2
1440
496680
3
9
2
2
2
26107
20483
2
2
14
11
24
4
4
3
29
8
329601
6
73330
8
357143
8
2
5
588
5
2
3
2
2
11
8
3
5
4
14
2
2
11
48
3
3
10
318037
2
2
24
16528
5
6
3
63
60
76652
306128
569
3
36
41
3
4
6
2
79508
2
8657
2
5
16244
3
2
3
5
4
3
2
2
110540
500117
16340
6
207007
4
23139
5
5
2
6
28
189545
2
4
4
6
115792
361434
4
3
2
4
2
6
4
2
3
2
75331
3
4
13793
38
7675
11
10
8148
3
3
4
6
2
3
2
6
133
2
2
17
500245
2
5
57556
3
500435
56622
3
4
10
24608
6
12
3
4
42367
12
9
2
57398
22
5
7349
7
2
3
100686
11
6
3
3
7
4
114177
4
2
49151
2
62
2
2
2
7
14730
3
3
52527
3
31
4
5
11
7
5
2
7
2
207756
13
5
49222
500391
9
414889
7
27
5
3
68899
10736
10
3
5
2
2
32305
2
3
2
10
10
2
142185
9548
5
17
7
25555
4
100657
4
2
4
10290
57
2
2
9
5354
3
4
5
9
7
6
30572
3
5
76
10
9
15
4
6
3
24935
13
7
3
36101
2
81935
4
427
2
69772
3
4
4
388656
4
2
500372
249598
7
4
50
3146
3
3
3
4
30736
4
3
2
2
4
13
17
3
3
6
11
3
3
6
6
30300
3
124081
3
2
34793
44
2
62
7
86444
2
4
4921
25
3
34611
6
4
18566
87789
7414
3
154878
2
3
39
6
4
18476
3
4
8
151600
2
2
6
3
27
2
2
3
2
4287
15
33846
4
4
8
2
2
19128
3
9661
11
2
286625
2
48284
236945
6
5
2
4
2
5
3
3
48067
6
4
9630
2
3
7
34
5
2
2
2
2
4
257415
86531
14
4
2
3
64871
3
162254
8
5
2
74134
10829
1777
7
16
48
304
6
4
8461
2
6
136207
4
2
4
6
11
13618
11312
17
48
4
3
2
5
2
3
2
150782
5
3
8
2
3
7
233825
29755
28
2
16
3
51
501
14
4560
33
103843
240
4
2
3
2
2
2
2
2
500212
12
3
4
4
8
2
2
3
35
3
9
4
12812
106218
46
5
4
9
2
239453
3
3
39443
4
74985
6
2
2
65691
6
3
6
336868
4
25477
14
3
32009
2
2
3
4
5
5
2
4
500044
21
6
24519
2
2
4
10
5
