pc_75_day_N1
4
11
48
9749
3
2
2
54
25
44945
3
8
3
2
3
4
2
4
26984
117595
8
3
22
2
2
2
2
51
78357
5830
2
63218
3
14289
2
29376
4
16
7
118323
24415
3
2
10
14305
5
4
67808
3
500048
10147
5
34529
14
2
3
8
16
2
36734
20
3
2
2
3
53
44395
33321
10641
117644
10
5
3
4
26236
74615
66
3
123
2
17
3
4
7
138016
11
124179
2
676
5
48538
5
5
9
5
2
50186
3
7194
123090
5040
12900
2
3
6
4
6
49310
2
2
280513
3
2
19312
2
2
500291
48922
118588
5
483073
3
2
2
2
2
4
3
2
7
9324
4
2
5
500087
2
10
3
7
4
215470
10
22
4
6
59
11159
3810
4
336867
7
3
11
146732
7
86
16
127477
3
2
11
17
500466
7
3
16
2
262409
5
2
3
8
11
2
3
1842
37
3
32126
2
2
2
4
4
2
4
160794
17
6
5
13
2
4
28
3
11
75109
3
5
3
5
2
4
45
44
3
44486
3
3
10
22530
313812
2
14
28
3
32183
2
2
6
3
2
3
5
4
500138
9
3
4
3
55045
2
2
12
34934
4
97913
5
3
2
227239
4
41593
3
4
2
13
500255
3
11
4
3
10
14509
2
2
50607
3
3
23
4
3
2
2
15
97350
3018
2
3
6342
170767
2
3
6
5
30152
3
3
3
50889
5
4
3
1062
2
12
3
80155
4
5
6
10754
3
11
161265
5
95321
44357
7
2
4
59464
36
500279
3916
2
4
141330
2
8365
2
106138
3
3
6
51957
2
17944
4842
4
3
4142
6
3
2
6
2
105136
3
3
3
2
167896
23
2
7
2
11001
2
6
3
6
221676
33405
5474
270
5
6
11
10100
2
5
2
3
14
194028
5
4
12
12
2
9
26148
252890
2
2
3
23
3
4
7
2
2
36909
2
10
6
2
2
17692
49476
9
33376
2
3
2
4
2
165782
23
307833
3
25634
4
5
20
9
500153
315010
9
3
2
64447
126281
22
70761
2
2
41477
13
2
3
6
10
3
1119
39106
1853
78910
6
6
6
77
7
3
86381
1863
6
5
2
6
57028
3
2
27876
61986
3
77941
2
7
3
2
133091
6
500328
14
3
4
3
2
3
14
348025
12353
3
22848
3
3
48839
3
75
4
215465
2
114088
36
13311
3
4
20167
2
7
39571
3
6
151711
2
7628
106384
4
8
7
19
3
5
4
4
66183
3
78191
4
5
91379
2
2
2
4
2
2
3
2
117533
5
3
2
25
214737
3
5
2
2
2
15598
14124
2
2
14
11
20
4
4
3
33
8
20
6
186035
8
98539
8
2
36568
8
7
2
3
2
2
11
8
3
5
4
10
2
2
11
76
3
3
10
81372
2
2
24
6
5
6
3
28
10150
19
21606
16549
3
9
853
3
4
6
2
25
2
56410
2
5
405465
3
2
3
4
4
3
2
2
23
500106
13
6
9
4
31294
5
5
2
6
56940
40422
2
4
4
6
194857
10
4
3
2
4
2
6
4
2
3
2
195
3
4
20
78
13
26
9
178038
3
3
4
6
2
3
2
7
69150
2
2
26
500227
2
12259
20
9
500442
85424
3
4
10
60
35929
116864
3
4
211900
12
9
2
156
27
5
6
7
2
3
46703
11
6
3
3
7
4
11
4
2
30210
2
40
2
2
2
7
44778
3
3
27
3
35
4
6
11
7
5
2
7
2
38071
13
5
77588
269398
9
175239
7
27
5
3
1047
31124
10
3
5
2
2
356191
2
5
2
10
10
2
16
4
5
239232
7
269804
5
62730
4
2
4
72753
51784
2
2
59554
26440
3
4
5
9
7
6
35
3
5
25936
10
9
15
4
6
3
41858
17893
7
3
57803
2
104526
4
18581
2
146720
3
4
4
38
4
2
195344
227784
7
4
264974
11
3
3
9
4
24886
4
3
2
2
4
13
7
3
3
6
26510
3
3
6
10
46949
3
12693
3
2
816
14
2
124657
7
303850
2
4
7287
25
3
6787
6
4
81617
156863
15
3
24715
2
3
39
6
4
140464
3
4
8
165549
2
2
6
3
27
2
2
3
2
89995
590
28390
4
4
8
2
2
19
3
13
5
2
500200
2
275385
32461
6
5
2
4
2
5
3
3
208945
6
4
6
2
3
7
11667
5
2
2
2
2
4
75562
21
14
4
2
3
18
3
296961
8
5
2
184634
33385
58984
7
24
1142
168219
6
4
16317
2
6
49
4
2
4
6
7
10021
71823
17
4
4
3
2
5
2
3
2
105299
5
3
8
2
3
7
500050
3022
28
2
16
3
50
13635
14
10653
33
31563
2155
4
2
3
2
2
2
2
2
383643
12
3
4
4
93519
2
2
3
35
3
11
4
7839
77348
139
5
4
9
2
392002
3
3
64603
4
33162
6
2
2
57
24
3
6
139090
4
34
14
3
15
2
2
3
4
5
5
2
4
79024
21
5
41
2
2
4
10
5
