"date_onset","detection_probability","state","count"
2020-02-04,1,"NT",0
2020-02-04,1,"QLD",2
2020-02-04,1,"SA",0
2020-02-04,1,"TAS",0
2020-02-04,1,"VIC",0
2020-02-04,1,"WA",0
2020-02-05,1,"ACT",0
2020-02-05,1,"NSW",0
2020-02-05,1,"NT",0
2020-02-05,1,"QLD",0
2020-02-05,1,"SA",0
2020-02-05,1,"TAS",0
2020-02-05,1,"VIC",0
2020-02-05,1,"WA",0
2020-02-06,1,"ACT",0
2020-02-06,1,"NSW",0
2020-02-06,1,"NT",0
2020-02-06,1,"QLD",0
2020-02-06,1,"SA",0
2020-02-06,1,"TAS",0
2020-02-06,1,"VIC",0
2020-02-06,1,"WA",0
2020-02-07,1,"ACT",0
2020-02-07,1,"NSW",0
2020-02-07,1,"NT",0
2020-02-07,1,"QLD",0
2020-02-07,1,"SA",0
2020-02-07,1,"TAS",0
2020-02-07,1,"VIC",0
2020-02-07,1,"WA",0
2020-02-08,1,"ACT",0
2020-02-08,1,"NSW",1
2020-02-08,1,"NT",0
2020-02-08,1,"QLD",0
2020-02-08,1,"SA",0
2020-02-08,1,"TAS",0
2020-02-08,1,"VIC",0
2020-02-08,1,"WA",0
2020-02-09,1,"ACT",0
2020-02-09,1,"NSW",0
2020-02-09,1,"NT",0
2020-02-09,1,"QLD",0
2020-02-09,1,"SA",0
2020-02-09,1,"TAS",0
2020-02-09,1,"VIC",0
2020-02-09,1,"WA",0
2020-02-10,1,"ACT",0
2020-02-10,1,"NSW",0
2020-02-10,1,"NT",0
2020-02-10,1,"QLD",0
2020-02-10,1,"SA",0
2020-02-10,1,"TAS",0
2020-02-10,1,"VIC",0
2020-02-10,1,"WA",0
2020-02-11,1,"ACT",0
2020-02-11,1,"NSW",0
2020-02-11,1,"NT",0
2020-02-11,1,"QLD",0
2020-02-11,1,"SA",0
2020-02-11,1,"TAS",0
2020-02-11,1,"VIC",0
2020-02-11,1,"WA",0
2020-02-12,1,"ACT",0
2020-02-12,1,"NSW",0
2020-02-12,1,"NT",0
2020-02-12,1,"QLD",0
2020-02-12,1,"SA",0
2020-02-12,1,"TAS",0
2020-02-12,1,"VIC",0
2020-02-12,1,"WA",0
2020-02-13,1,"ACT",0
2020-02-13,1,"NSW",1
2020-02-13,1,"NT",0
2020-02-13,1,"QLD",0
2020-02-13,1,"SA",0
2020-02-13,1,"TAS",0
2020-02-13,1,"VIC",0
2020-02-13,1,"WA",0
2020-02-14,1,"ACT",0
2020-02-14,1,"NSW",0
2020-02-14,1,"NT",0
2020-02-14,1,"QLD",0
2020-02-14,1,"SA",0
2020-02-14,1,"TAS",0
2020-02-14,1,"VIC",0
2020-02-14,1,"WA",0
2020-02-15,1,"ACT",0
2020-02-15,1,"NSW",1
2020-02-15,1,"NT",0
2020-02-15,1,"QLD",0
2020-02-15,1,"SA",0
2020-02-15,1,"TAS",0
2020-02-15,1,"VIC",0
2020-02-15,1,"WA",0
2020-02-16,1,"ACT",0
2020-02-16,1,"NSW",2
2020-02-16,1,"NT",0
2020-02-16,1,"QLD",0
2020-02-16,1,"SA",0
2020-02-16,1,"TAS",0
2020-02-16,1,"VIC",0
2020-02-16,1,"WA",0
2020-02-17,1,"ACT",0
2020-02-17,1,"NSW",1
2020-02-17,1,"NT",0
2020-02-17,1,"QLD",0
2020-02-17,1,"SA",0
2020-02-17,1,"TAS",0
2020-02-17,1,"VIC",0
2020-02-17,1,"WA",0
2020-02-18,1,"ACT",0
2020-02-18,1,"NSW",1
2020-02-18,1,"NT",0
2020-02-18,1,"QLD",0
2020-02-18,1,"SA",0
2020-02-18,1,"TAS",0
2020-02-18,1,"VIC",0
2020-02-18,1,"WA",0
2020-02-19,1,"ACT",0
2020-02-19,1,"NSW",0
2020-02-19,1,"NT",0
2020-02-19,1,"QLD",0
2020-02-19,1,"SA",0
2020-02-19,1,"TAS",0
2020-02-19,1,"VIC",0
2020-02-19,1,"WA",0
2020-02-20,1,"ACT",0
2020-02-20,1,"NSW",1
2020-02-20,1,"NT",0
2020-02-20,1,"QLD",0
2020-02-20,1,"SA",0
