pc_100_day_N-2
1412
12
1958
1821
16085
15
945
14142
39
1270
13
20
94
1704
17
38
8699
1034
31
29
5923
12
27
30
2526
2245
37
26
309
676
28
29
193
24
11248
1039
6650
38
37
966
25
113
159
10353
19
7863
438
1412
145
24
49
23
3443
14
22
5314
4509
49
27
18
45
503
42
18
19
1120
2605
15
2630
36
21
27
2969
7635
29
37
1415
16
1937
7597
17
1735
993
16
31
27
4500
965
1324
16
31
12
5719
24
3734
29
5330
289
15
197
1466
16
19
47
3313
84
68
295
33
13
1898
17
3981
15
2575
2677
1755
16
25
24
31
8621
4768
18
14
845
18
3282
20
19
24
17
2753
186
17
18
972
2603
5340
1051
34
9324
3717
20
21
28
58
23
15
27
17
89
327
18
5649
1759
822
5247
20
15
19
32132
28
37
1722
90
23
1117
1116
32
31
37
13
483
8167
576
38
33
15
39
497
7845
386
122
172
59
40
35
31
19
2953
32
441
23
35
21
31
1633
2316
52
27
36
572
365
18
1669
1609
18
39
3625
139
42
25
26
38
26
32
29
49
2111
1188
43
5508
14
22
16
2069
8807
17
1254
777
31
32
23
204
18
4491
928
10604
81
189
58
124
27
3044
46
412
18
33
3264
720
42
4895
17
412
2408
23
55
13
14
478
20
55
15
1842
20
3727
16
45
89
754
23
30
1959
102
1839
59
13
8059
12
42
16
750
3273
20
129
33
30
126
11466
51
15
94
7261
6107
58
15
17
20
18
15
18
5033
2462
32
47
25
7008
145
18
97
55
3459
2752
48
44
575
42
31
8888
3329
592
28
20
2470
57
913
21
4187
32
916
3636
22
3442
43
5604
221
2865
34
28
22
5218
20
9381
6902
104
139
2065
33
27
4869
88
19
37
1590
330
2134
20
25
22
13
309
24
19
4241
12
1169
53
39
40
576
15
16
35
17
2529
344
38
63
1288
6509
20
288
24
2843
76
4177
20
5194
957
16
21
1256
58
38
4804
1649
1136
2776
107
2526
3738
189
99
1730
31
1480
4546
12572
29
16
13
58
41
697
99
24
16
5007
17
1234
21
60
43
13
5815
8156
16
6597
2365
31
1885
28
92
18
15
687
468
1221
137
14
38
3122
708
3921
19
19
34
1418
17
22
24
2085
17
1795
13
3260
4421
26
2309
4378
1602
74
14
42
12
87
15
3260
61
164
6404
18
33
2658
19
1950
13
63
24
19
2925
34
52
31
16
18
315
27
1236
29
212
21
35
44
67
15
1020
3137
16
15
25
15575
2050
12
1509
5265
533
17
29
15
19
23
6538
4615
6767
1111
16
7679
23
2149
136
965
24
3742
2722
20
31
231
18
139
23
53
652
18
18483
29
20
21
21
26
24
14366
18
2578
5322
20
16
738
41
2280
20
53
21
16
6687
18
5119
95
35
15
39
287
23
15
75
90
22
1640
106
20
41
3194
1553
72
1264
947
2631
3522
13
26
6411
19
363
40
1417
1578
30
24
57
12887
560
3900
35
25
6545
1070
24854
19
1441
28
147
20
1459
504
8373
15
103
111
3037
18
913
2637
37
48
84
56
3369
2014
1002
41
340
29
843
1304
4946
16
47
2058
224
25
22
9607
21
59
24
232
16
3066
1533
11213
4524
46
7704
17228
1631
41
34
47
16
66
19
35
3945
16
25
1705
1442
27
107
40
1522
18
2041
265
30
29
1125
76
26
88
48
13
2995
16
21
805
26
308
695
28
671
15
650
133
6322
4755
51
19
21
4062
8168
4066
181
1374
992
5960
2952
390
16
4108
190
19
25
2949
1587
799
13
16
3411
18
18
18
220
6572
40
41
27
28
37
30
1022
4445
36
28
3198
2212
7408
17
1250
16
16
8807
23
16
119
13
25
27
4523
26
789
11196
28
1554
115
35
233
59
22
16
9971
46
197
34
17
37
24
15
26
229
3770
48
125
21
30
3278
36
19
27
5776
5627
78
877
887
326
48
2423
143
11335
4948
98
40
256
43
811
28
18
10907
2794
13
265
1583
24
465
29
18
350
102
3706
5649
1779
41
2541
91
24
34
5498
405
12
113
3757
4090
143
27
16
35
38
93
30
62
330
447
52
21
76
2941
21
14
20
23
1607
30
88
33
665
25
126
18
5211
53
50
338
21
4516
40
24
3451
3890
46
378
5563
26
18
34
1493
19
65
443
1055
163
16
18
22
29
6631
14
42
26
13
418
88
5053
32
28
36
678
1207
18
13
37
33
31
4180
106
18
33
19
29
31
59
5028
1947
476
2858
181
2507
80
54
775
27
15
1164
20
12
7039
34
5305
20103
3160
9973
482
16
156
32
97
25
8595
4991
67
1808
2667
868
37
40
25
11024
32
70
24
73
5736
43
27
1257
742
13
2807
1931
66
506
50
1643
32
5445
1132
33
1666
677
8390
24
36
1806
25
20
5468
62
15
35
15
16782
2462
7000
17
76
6306
16
2018
10233
1694
780
1690
18
38
32
60
4679
50
43
38
91
4061
18
4558
2321
16
144
6356
14
45
52
24
4231
49
25
3066
32
19
19
18
33
26
21
77
66
12578
1234
14
9469
35
1506
19089
13
3758
35
5341
26
7675
2957
43
361
3449
17
16
69
15
27
479
3591
2897
117
1171
22
29
1642
245
21
23
307
157
23
49
19
19
24
14
904
21
17
40
499
3024
283
30
18
6027
21
78
446
254
1466
92
25
27
46
35
38
2157
62
6276
5404
180
3086
32
24
701
66
21
45
42
3379
4307
39
68
6781
25
2489
29
34
27
23
5325
36
46
14
16
68
6267
376
5705
16
14
56
7930
25
55
2610
735
924
1058
8523
5597
33
52
21
1909
797
68
6402
3994
130
60
7714
683
262
592
5012
5539
35
59
3129
16
17
17
16
20
74
1650
19
61
362
1275
37
49
16
14498
17
281
2965
20709
6946
124
23
32
8373
44
26
105
27
280
70
20
77
4383
9352
19
20
55
71
5186
1263
30
480
4663
184
20
19
79
352
97
12
1514
29
20
335
263
2847
24
155
23
1310
447
14
21
6449
5747
57
6530
1463
2135
22
22
40
46
2737
43
4423
20
28
327
33
24
3504
61
45
9649
31
2488
6147
8032
4784
12
36
228
60
6535
142
22
17
48
898
272
34
6461
13
443
18
13
116
14
11129
19
7475
43
10434
19
26
5406
44
20
500
4408
72
79
44
24
116
36
29
14
13349
34
471
40
37
58
1869
819
2729
17
21
15
27
13
16
1036
49
20
99
32
7210
25
46
2298
126
17
14
980
795
5045
16
2088
69
3344
2775
561
36
44
393
35
127
1164
15
2070
701
159
47
1465
46
31
14
1375
4153
14
4252
928
84
2858
128
1506
30
400
18
16402
16
111
187
6681
79
981
30
19
234
2111
685
28
7446
31
74
5976
18
