"type","date","bottom","top","lower","upper","median","mean","std","prob_control","mean_window","sd_window","confidence","date_onset","state","date_of_analysis"
"nowcast",2020-02-17,0.289887155464492,8.01880064728863,0.723285001227122,2.31466504006413,1.84672777305215,2.5249823550243,2.33562664334907,0.25,3.5,1.53896752812773,0.999999884540347,2020-02-22,"WA","2020-04-26"
"nowcast",2020-02-18,0.633153633666516,3.39979751437701,0.730522290614667,1.88046657170116,1.52288482023394,1.66292167372191,0.923229701214909,0.333333333333333,3,1.43838990445615,0.999999822243747,2020-02-23,"WA","2020-04-26"
"nowcast",2020-02-19,0.0262696627350998,2.89653257087533,0.0966686957330636,1.05303480885848,0.98164562723034,1.3785506197895,1.24661952762345,0.5,4,2.15352760823266,0.999999736271328,2020-02-24,"WA","2020-04-26"
"nowcast",2020-02-20,0.0219733317273351,2.16748092935281,0.115386454514579,0.730780289469367,0.690205645648007,0.988095045021175,1.19880575062798,0.716666666666667,3.83333333333333,2.12362989279409,0.999999595340687,2020-02-25,"WA","2020-04-26"
"nowcast",2020-02-21,0.0385483657335447,3.07992271038523,0.0385483657335447,0.771793918248392,0.752472099369912,1.21818377160015,1.21398435298469,0.5875,4.3125,2.05945434551433,0.999999357757604,2020-02-26,"WA","2020-04-26"
"nowcast",2020-02-22,0.0390057920808803,2.11779145014575,0.114416237307654,0.798801780451245,0.731691403738422,0.992564957770529,0.932707950690528,0.644444444444444,4.22222222222222,2.12869607728477,0.99999900520269,2020-02-27,"WA","2020-04-26"
"nowcast",2020-02-23,0.000886813911256765,2.39194369960141,0.0155911786579871,0.604750120980284,0.593783116216679,0.977130023045659,1.0851397995076,0.666666666666667,4.04166666666667,2.13516418124991,0.99999849829338,2020-02-28,"WA","2020-04-26"
"nowcast",2020-02-24,0.00832017538043052,2.23003445707977,0.0488526302392954,0.624541720990228,0.610394548664291,1.0005939656344,1.15672073544682,0.685294117647059,3.67647058823529,2.18226409768679,0.999997598284585,2020-02-29,"WA","2020-04-26"
"nowcast",2020-02-25,0.00801916918170519,1.96477472692906,0.128006104138782,0.682934625789607,0.594880206283333,0.875849697422859,0.819341827604328,0.706666666666667,3.73333333333333,2.1357076616512,0.999996372838697,2020-03-01,"WA","2020-04-26"
"nowcast",2020-02-26,0.00931124218425447,1.5854279856968,0.06546260827964,0.614332924213327,0.569745373701798,0.769470336444844,0.719468463153243,0.737096774193548,3.56451612903226,2.09330780545971,0.999994807225869,2020-03-02,"WA","2020-04-26"
"nowcast",2020-02-27,0.00463800689146067,1.51688057830126,0.0747362276870843,0.544850403595354,0.49840237807939,0.713516207370292,0.730170310072633,0.783333333333333,3.35897435897436,2.03924498962518,0.999992508376121,2020-03-03,"WA","2020-04-26"
"nowcast",2020-02-28,0.00153987527245158,1.48493920587932,0.0927911117364232,0.558767759925671,0.497985758946231,0.692400458033183,0.637175612943194,0.783333333333333,3.13725490196078,2.06393973182598,0.999989407443142,2020-03-04,"WA","2020-04-26"
"nowcast",2020-02-29,0.0130309906895849,1.28148817896312,0.0534091373173862,0.470473387289147,0.451350960365362,0.613526652861687,0.563697709329906,0.832307692307692,3.27692307692308,2.10214665243669,0.999985428035361,2020-03-05,"WA","2020-04-26"
"nowcast",2020-03-01,0.0137539084359382,1.2482418207862,0.113254158246227,0.516238527334484,0.433381431486258,0.598673241901566,0.551852430077433,0.836708860759494,3.34810126582278,2.16169431118168,0.999980527131981,2020-03-06,"WA","2020-04-26"
"nowcast",2020-03-02,0.0126008505221344,1.04740037389386,0.0957656077111979,0.449713650592825,0.400607246005919,0.511860455239522,0.420251358312934,0.889830508474576,3.36723163841808,2.15971904185612,0.999974698242377,2020-03-07,"WA","2020-04-26"
"nowcast",2020-03-03,0.0263520491394042,0.907846524557571,0.155856761177152,0.481150242153112,0.389361724141008,0.47381543979898,0.352169586114875,0.928240740740741,3.37037037037037,2.18034757882224,0.99996728931351,2020-03-08,"WA","2020-04-26"
