-3,1,0.05,1
-3,1,0.05,2
-3,1,0.05,10
-3,1,0.1,1
-3,1,0.1,2
-3,1,0.1,10
-3,1,0.3,1
-3,1,0.3,2
-3,1,0.3,10
-3,2,0.05,1
-3,2,0.05,2
-3,2,0.05,10
-3,2,0.1,1
-3,2,0.1,2
-3,2,0.1,10
-3,2,0.3,1
-3,2,0.3,2
-3,2,0.3,10
-2,1,0.05,1
-2,1,0.05,2
-2,1,0.05,10
-2,1,0.1,1
-2,1,0.1,2
-2,1,0.1,10
-2,1,0.3,1
-2,1,0.3,2
-2,1,0.3,10
-2,2,0.05,1
-2,2,0.05,2
-2,2,0.05,10
-2,2,0.1,1
-2,2,0.1,2
-2,2,0.1,10
-2,2,0.3,1
-2,2,0.3,2
-2,2,0.3,10
-1,1,0.05,1
-1,1,0.05,2
-1,1,0.05,10
-1,1,0.1,1
-1,1,0.1,2
-1,1,0.1,10
-1,1,0.3,1
-1,1,0.3,2
-1,1,0.3,10
-1,2,0.05,1
-1,2,0.05,2
-1,2,0.05,10
-1,2,0.1,1
-1,2,0.1,2
-1,2,0.1,10
-1,2,0.3,1
-1,2,0.3,2
-1,2,0.3,10
0,1,0.05,1
0,1,0.05,2
0,1,0.05,10
0,1,0.1,1
0,1,0.1,2
0,1,0.1,10
0,1,0.3,1
0,1,0.3,2
0,1,0.3,10
0,2,0.05,1
0,2,0.05,2
0,2,0.05,10
0,2,0.1,1
0,2,0.1,2
0,2,0.1,10
0,2,0.3,1
0,2,0.3,2
0,2,0.3,10
0,0,0.05,1
0,0,0.05,2
0,0,0.05,10
0,0,0.1,1
0,0,0.1,2
0,0,0.1,10
0,0,0.3,1
0,0,0.3,2
0,0,0.3,10
